"","EBIT","Operating.Cash.Flow","Operating.Income","EBITDA","Free.Cash.Flow","Gross.Profit","Net.Income.Com","Consolidated.Income","Stock.based.compensation","Dividends.per.Share.Growth","Days.Payables.Outstanding","daysOfInventoryOutstanding"
"410",2.328e+09,2.451e+09,2.331e+09,2.995e+09,1.539e+09,4.745e+09,2.565e+09,2.565e+09,9.5e+07,0.0909,40.3932,61.6074
"411",4.289e+09,6.935e+09,4.224e+09,6.765e+09,4.433e+09,2.1589e+10,2.914e+09,2.914e+09,1.12e+08,0.0517,43.5556,0
"412",802500000,932200000,809400000,1009400000,692900000,2610700000,370100000,370100000,2.8e+07,0.1143,38.2874,20.2379
"413",3888176000,3025624000,3888176000,4614133000,1968007000,10362497000,2607948000,2607948000,101362000,0.2101,25.3245,3.3296
"414",3.262e+09,4.543e+09,3.783e+09,5.529e+09,3.835e+09,1.0857e+10,2.938e+09,2.938e+09,1.81e+08,0.1333,24.2005,61.9772
"415",670800000,996700000,670800000,931100000,729300000,3848500000,397500000,397500000,81300000,7e-04,16.4064,19.4977
"416",1.85e+08,4.05e+08,1.83e+08,3.01e+08,3.44e+08,1.529e+09,1.13e+08,1.13e+08,1.18e+08,0,40.4551,47.9133
"417",2453400000,1619900000,2361400000,2612900000,1451400000,5372600000,1837500000,1768700000,197100000,0.2281,15.5237,37.3383
"418",3.313e+09,4.38e+09,3.313e+09,3.313e+09,4.38e+09,1.1991e+10,2.523e+09,2.523e+09,0,0.0707,61.1588,249.0346
"419",701737000,694394000,701737000,879088000,418080000,2702528000,532357000,532357000,28921000,0.1429,28.6047,0
"420",3.092e+09,2.963e+09,3.032e+09,4.035e+09,1.763e+09,5.096e+09,3.024e+09,3.027e+09,6.9e+07,0.3636,15.4377,15.702
"421",6.811e+09,7.189e+09,6.713e+09,7.765e+09,6.058e+09,1.0277e+10,5.58e+09,5.58e+09,2.32e+08,0.2406,11.0536,27.9115
"422",1.55e+09,1.125e+09,1.106e+09,1.979e+09,7.56e+08,2.378e+09,1.222e+09,1.222e+09,0,0,28.7099,46.6046
"423",3413106089.17197,628230000,1.58e+08,4790731578.7234,2844743855.62633,2.334e+09,-8e+06,2453998002.12766,209458382.165605,0.420080728051392,39.431,45.8974
"424",-33286000,628230000,-25017000,148482000,469130000,2340471000,-46302000,-46302000,41783000,0,39.4214,45.8638
"425",3.387e+09,6.181e+09,3.292e+09,5.627e+09,2.004e+09,2.4836e+10,2.129e+09,2.129e+09,0,0,20.8821,12.6017
"426",337962000,560676000,354718000,773641000,293229000,743869000,199238000,221542000,14244000,0.0433,60.6703,0
"427",1171303000,1340893000,1175262000,1624379000,675931000,10772278000,779705000,797883000,66581000,0,42.4799,51.1607
"428",786859000,779366000,785291000,1039572000,338652000,2096809000,555234000,555234000,24399000,0,20.2059,6.1853
